one,two,three,four1,four2,four3,four4,four5,four6,four7,four8,five1,five2,five3,five4,five5,five6,six,seven,eight,nine,ten,eleven,twelve
3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,4,4,5,55
4,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,4,4,2,
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,4,5,2,51.2
3,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,1,4,5,5,59
1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,4,0,3,1,6,62.8
1,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,2,4,3,52.3
5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,5,1,4,3,3,53
1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,5,4,3,54.4
3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,4,3,4,51
3,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,3,4,3,
3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,1,3,5,3,54
3,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,3,3,5,55
3,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,2,4,3,50.1
3,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,4,4,0,51
3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,4,4,5,51.6
4,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,2,4,0,49.5
3,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,4,4,5,54
3,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,4,2,4,54.1
5,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,2,2,2,50
1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,3,5,5,60
3,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,3,5,5,58.8
1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,1,4,4,6,52
3,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,1,4,4,0,58.8
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,1,5,5,0,66.2
1,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,5,5,6,61.7
1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,0,4,2,0,
5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,5,5,6,54.8
5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,4,4,5,51.5
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,1,3,4,3,55.3
3,5,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,1,4,0,59
1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,4,0,55.4
3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,4,5,5,54
4,2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,1,3,3,
3,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,4,4,6,
3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,4,3,3,53.4
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,2,3,0,60.1
4,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,0,2,3,1,41
1,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,3,5,1,49.9
3,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,2,5,6,
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,0,
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,2,
3,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,0,3,4,0,60
5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,5,0,2,5,5,54.3
3,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,0,3,4,3,52
1,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,4,5,2,49
3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,2,2,3,48.5
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,5,5,5,
1,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,5,0,3,3,2,56
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,2,3,0,55
3,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,1,4,5,3,52
1,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,2,2,
4,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,2,3,2,
1,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,3,5,0,
5,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,1,3,0,50
4,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,1,4,5,3,50
3,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,5,0,2,4,2,52
3,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,3,3,5,52
4,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,5,0,3,5,2,53.2
1,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,1,3,4,2,66
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,3,4,3,51.2
3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,2,2,4,
1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,3,4,4,54
4,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,4,62.7
4,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,1,3,5,4,
3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,4,5,6,
3,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,1,3,5,6,68.3
3,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,0,1,4,0,
3,2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,4,4,0,
3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,4,1,3,3,4,55
3,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,3,4,4,53.6
3,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,1,1,4,0,50
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,5,3,57.9
3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,4,1,5,5,5,60
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,2,2,2,61.8
1,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,1,2,5,3,
1,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,3,0,56.3
3,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,3,4,3,
1,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,5,5,3,54
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,2,5,0,
4,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,3,4,0,42
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,1,2,5,5,52
5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,5,0,4,1,3,53.1
4,5,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,3,5,3,55
3,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,4,4,5,54.9
1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,5,1,4,2,4,54
3,5,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,5,1,2,4,2,
1,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,1,5,0,
4,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,1,5,0,57
4,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,1,4,0,
1,5,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,4,4,5,53.4
3,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,1,2,3,1,60.8
3,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,2,4,2,
3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,4,3,5,57.1
4,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,1,3,4,3,55.9
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,1,3,5,2,49
5,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,5,0,5,3,6,
4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1,4,2,5,51.5
3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,1,4,4,4,54.1
4,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,0,2,4,2,58.4
3,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,1,2,4,3,
3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,3,4,3,
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,1,4,5,0,55.1
1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,5,1,3,4,2,50
3,5,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,3,4,2,47.9
3,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,3,3,2,
3,3,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0,1,3,0,
3,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,4,5,4,56.3
4,3,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,0,4,4,3,52
3,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,3,4,4,52.1
3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,3,4,0,50.8
3,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,5,0,4,3,3,49.3
3,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,1,3,5,4,54
3,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,3,2,5,59.4
3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,1,2,5,5,
3,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,2,4,0,66.2
1,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,0,3,5,5,51.6
3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,5,1,2,4,5,
3,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,4,4,4,53.5
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,4,1,5,66
5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,5,5,57.2
1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,3,3,3,53
3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4,1,3,2,3,51.27
3,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,1,4,2,4,57.8
3,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,4,2,2,
3,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,0,3,2,0,56.9
3,2,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,4,5,5,
3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,3,5,4,56.1
3,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,3,3,3,54
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,3,5,5,60
3,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,4,3,4,51.7
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,1,2,4,4,52.3
3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,5,4,5,53
3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,3,3,3,54
4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,3,5,4,54.3
1,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,5,0,5,3,6,53
1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,5,4,5,54.5
5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,0,4,5,5,54.1
4,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,0,2,4,2,57.6
3,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,0,4,4,4,56.1
3,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,1,4,2,4,53.8
3,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1,2,5,4,60
3,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,2,4,5,62
3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,2,4,3,53
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,4,4,4,53
1,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,5,3,6,55.5
3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,0,4,4,3,
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,3,5,6,
5,5,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,0,1,4,4,
4,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,3,4,3,
3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,5,0,4,1,6,
4,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,4,5,4,
3,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,5,1,6,54.1
3,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,3,4,3,
3,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,4,5,6,
1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,5,0,44.2
3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,4,0,4,4,2,
4,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5,0,4,3,4,55.2
4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,2,4,2,47
3,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,2,4,0,52
1,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,2,49.5
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,4,4,57
1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,3,5,4,
4,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,1,4,4,3,
4,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,3,5,4,52.3
1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,4,5,4,55
1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,2,3,3,
3,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,1,4,4,3,52.2
1,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,1,4,3,5,53.2
4,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,0,3,2,2,50
3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,4,0,4,4,4,55.4
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,0,5,4,3,52
4,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,3,3,2,46
3,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,2,3,51.5
1,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,3,1,4,50.34
3,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,3,4,0,57
1,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,1,4,5,4,55.1
1,3,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,4,4,0,59
3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,3,5,3,49
4,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,1,3,5,5,53.2
1,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,5,3,6,
1,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,5,4,2,65
1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,4,1,46
1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,5,5,4,52.7
3,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,1,3,5,4,52.5
3,3,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,1,2,5,3,51.7
4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,0,2,4,2,68.4
5,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,4,5,1,54.6
1,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,4,0,52.6
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,5,3,5,55.7
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,2,5,2,52.3
2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,1,2,4,2,50.4
4,2,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,4,5,4,69.8
4,2,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,4,5,4,69.8
4,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,3,4,3,51.8
2,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,2,4,2,60
3,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,4,4,2,52.2
4,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,4,5,3,55.7
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,4,3,51.2
4,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,0,1,5,0,
2,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,4,5,3,49
3,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,5,3,55.4
4,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,3,4,3,52.8
3,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,4,1,4,4,4,53.4
2,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,5,5,4,
3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,5,5,6,60
2,5,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,4,4,5,53.4
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,4,5,3,51.6
3,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,2,4,3,52.1
2,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,5,0,3,4,3,54
2,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,1,4,3,3,
2,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,3,4,2,51.3
3,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,5,5,5,56
5,5,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,2,4,4,53.3
1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,1,3,3,0,
2,5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,3,4,3,50.8
5,5,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,5,0,3,3,6,63
2,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,1,3,4,4,54.3
1,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,5,0,3,5,4,66
3,4,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,5,2,4,59.6
5,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,0,3,4,5,60
4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,4,0,2,5,0,
4,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,2,4,4,50
3,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,3,4,0,
1,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,4,5,4,54
1,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,3,4,5,54.3
2,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,3,5,3,53
